UserId,RecipeId,Rating
175,638124,1
175,638137,2
176,638109,3
176,638137,5
176,638149,2
176,638125,3
177,638112,5
177,638134,4
177,638115,3
177,638140,5
178,638113,2
178,638103,2
179,638110,2
179,638115,5
179,638122,4
179,638137,4
180,638118,5
180,638135,5
180,638136,4
181,638131,2
181,638121,3
181,638122,3
181,638122,1
181,638103,4
181,638146,4
181,638106,1
182,638128,2
182,638111,1
182,638140,5
182,638146,2
183,638143,3
183,638117,1
183,638142,3
184,638148,3
184,638117,3
184,638121,4
184,638135,2
104,638263,1
104,918033,3
104,638174,4
104,716342,2
104,638125,4
104,638109,2
104,638115,5
104,638106,1
104,638112,4
104,638121,5
104,638106,2
185,638149,5
185,638111,2
185,638134,3
185,638100,1
185,638118,4
186,638116,3
186,638110,3
186,638106,2
186,638132,1
187,638127,4
187,638126,3
187,638119,1
187,638138,5
187,638140,1
187,638120,1
188,638133,1
188,638102,4
188,638132,3
189,638110,5
189,638148,1
189,638146,5
190,638117,1
190,638135,2
191,638148,2
191,638144,4
191,638116,5
191,638104,3
191,638122,1
191,638141,3
192,638127,2
192,638132,5
193,638136,1
194,638125,1
194,638113,4
194,638128,3
194,638136,5
